nom,french_attribut,CO2,main_type,sous_type
Chicorée et café,poudre soluble,14.4,Boissons,Boissons sans alcool
Chicorée rouge,cru,0.63,Fruits et Légumes,Légumes
Chicorée verte,cru,0.63,Fruits et Légumes,Légumes
Chinchard,cru,2.25,"Viandes, oeufs, poissons",Poissons crus
Chinchard gras,cru,2.25,"Viandes, oeufs, poissons",Poissons crus
Chinchard maigre,cru,2.25,"Viandes, oeufs, poissons",Poissons crus
Chipolata,cru,5.09,"Viandes, oeufs, poissons",Charcuteries
Chips de pommes de terre,standard-à l'ancienne,1.54,Fruits et Légumes,
Chips de pommes de terre et assimilés,allégées en matière grasse,1.54,Fruits et Légumes,Pommes de terre et autres tubercules
Chorizo supérieur,doux ou fort,6.12,"Viandes, oeufs, poissons",Charcuteries
Chou blanc,cru,0.66,Fruits et Légumes,Légumes
Chou chinois ou pak-choi ou pé-tsai,cru,0.86,Fruits et Légumes,Légumes
Chou de Bruxelles,cru,0.58,Fruits et Légumes,Légumes
Chou de Bruxelles,surgelé,1.07,Fruits et Légumes,Légumes
Chou de Bruxelles,appertisé,1.11,Fruits et Légumes,Légumes
Chou frisé,cru,0.73,Fruits et Légumes,Légumes
Chou romanesco ou brocoli à pomme,cru,0.74,Fruits et Légumes,Légumes
Chou rouge,cru,0.86,Fruits et Légumes,Légumes
Chou vert,cru,0.86,Fruits et Légumes,Légumes
Chou-fleur,cru,0.74,Fruits et Légumes,Légumes
Chou-fleur,surgelé,1.15,Fruits et Légumes,Légumes
Chou-rave,cru,0.46,Fruits et Légumes,Légumes
Choucroute,sans garniture,1.0,Plats composés,Plats composés
Châtaigne,cru,1.88,Fruits et Légumes,Fruits à coque et graines oléagineuses
Châtaigne,grillée,1.94,Fruits et Légumes,Fruits à coque et graines oléagineuses
Châtaigne ou Marron,appertisé,1.48,Fruits et Légumes,Fruits à coque et graines oléagineuses
Ciboule ou Ciboulette,fraîche,0.68,Aides culinaires et ingrédients divers,Herbes
Citron,pulpe,0.71,Fruits et Légumes,Fruits
Citron,zeste,0.89,Fruits et Légumes,Fruits
Citron ou Lime,spécialité à diluer pour boissons,0.85,Boissons,Boissons sans alcool
Citron vert ou Lime,pulpe,0.53,Fruits et Légumes,Fruits
Citrouille,pulpe,0.62,Fruits et Légumes,Légumes
Clafoutis aux fruits,rayon frais,1.8,Produits Laitiers,Produits laitiers frais et assimilés
Clémentine,pulpe,1.23,Fruits et Légumes,Fruits
Cocktail type punch,16% alcool,1.06,Boissons,Boissons alcoolisées
Coeur,dinde-poulet,1.84,"Viandes, oeufs, poissons",
Coeur,porc,2.1,"Viandes, oeufs, poissons",Viandes crues
Coeur,veau,17.8,"Viandes, oeufs, poissons",Viandes crues
Coeur,agneau,21.6,"Viandes, oeufs, poissons",Viandes crues
Coeur,boeuf,22.1,"Viandes, oeufs, poissons",Viandes crues
Coeur de palmier,appertisé,1.65,Fruits et Légumes,Légumes
Coing,cru,0.54,Fruits et Légumes,Fruits
Cola,non sucré-sucré,0.51,Boissons,
Compote,tout type de fruits,0.8,Fruits et Légumes,Fruits
Concombre,pulpe-pulpe et peau,0.47,Fruits et Légumes,
Confit de canard,viande (cuisse),9.54,"Viandes, oeufs, poissons",Charcuteries
Confiture,tout type de fruits,1.42,Produits sucrés,Confitures et assimilés
Congre,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Coquille Saint-Jacques,noix,9.71,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Coquille Saint-Jacques,noix et corail,10.46,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Corb,cru,4.25,"Viandes, oeufs, poissons",Poissons crus
Coriandre,fraiche,0.97,Aides culinaires et ingrédients divers,Herbes
Coriandre,graine,1.1,Aides culinaires et ingrédients divers,Epices
Coulirou,cru,2.25,"Viandes, oeufs, poissons",Poissons crus
Courge,cru,0.62,Fruits et Légumes,Légumes
Courge hokkaïdo,pulpe,0.6,Fruits et Légumes,Légumes
