nom,french_attribut,CO2,main_type,sous_type
Spécialité à base de crème légère 8% MG,fluide ou épaisse,1.99,Produits Laitiers,Crèmes et spécialités à base de crème
Substitut de repas hypocalorique,crème dessert-poudre reconstituée avec lait écrémé-prêt à boire,2.31,Aides culinaires et ingrédients divers,
Sureau,baie,0.88,Fruits et Légumes,Fruits
Surimi,bâtonnets-fourré au fromage,6.67,"Viandes, oeufs, poissons",
Sébaste du nord,ou dorade sébaste,10.8,"Viandes, oeufs, poissons",Poissons crus
Sésame,graine-graine décortiquée-grillé,5.21,Fruits et Légumes,
Taboulé ou Salade de couscous,préemballé,1.07,Plats composés,Salades composées et crudités
Taboulé ou Salade de couscous au poulet,préemballé,2.19,Plats composés,Salades composées et crudités
Tacaud,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Tamarin,fruit immature,0.53,Fruits et Légumes,Fruits
Tapioca ou Perles du Japon,cru,0.8,Fruits et Légumes,Pommes de terre et autres tubercules
Tarama,préemballé,1.86,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Taro,tubercule,1.0,Fruits et Légumes,Pommes de terre et autres tubercules
Tarte au chocolat,fabrication artisanale,7.25,Produits céréaliers,Gâteaux et pâtisseries
Tarte normande aux pommes (garniture farine,ufs,2.62,Produits céréaliers,Gâteaux et pâtisseries
Tartine craquante,extrudée et grillée,1.45,Produits céréaliers,Pains et viennoiseries
Terrine de fruits de mer,avec ou sans poisson,7.86,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Thon,cru,4.4,"Viandes, oeufs, poissons",Poissons crus
Thon,à la catalane ou à l'escabèche (sauce tomate),5.43,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Thon,au naturel,16.9,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Thon albacore ou thon jaune,au naturel,4.33,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Thon albacore ou thon jaune,cru,4.4,"Viandes, oeufs, poissons",Poissons crus
Thon germon ou thon blanc,cru,8.4,"Viandes, oeufs, poissons",Poissons crus
Thon germon ou thon blanc,à l'huile d'olive,8.93,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Thon listao ou Bonite à ventre rayé,cru,4.38,"Viandes, oeufs, poissons",Poissons crus
Thon à l'huile,appertisé,5.43,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Thym,frais,0.82,Aides culinaires et ingrédients divers,Herbes
Thym,séché,1.55,Aides culinaires et ingrédients divers,Herbes
Tiramisu,rayon frais,11.2,Produits Laitiers,Produits laitiers frais et assimilés
Tisane infusée,non sucrée,0.04,Boissons,Boissons sans alcool
Toasts ou Canapés salés,garnitures diverses,1.8,Plats composés,Sandwichs
Tofu,nature,0.66,Plats composés,Plats composés
Tofu fumé,préemballé,1.53,"Viandes, oeufs, poissons",Substituts de viande
Tomate,coulis-purée,0.68,Fruits et Légumes,
Tomate,cru,0.7,Fruits et Légumes,Légumes
Tomate,pulpe,0.92,Fruits et Légumes,Légumes
Tomate,pulpe et peau,1.23,Fruits et Légumes,Légumes
Tomate,pelée,1.27,Fruits et Légumes,Légumes
Tomate,concentré,2.83,Fruits et Légumes,Légumes
Tomate,double concentré,4.14,Fruits et Légumes,Légumes
Tomate,séché,7.5,Fruits et Légumes,Légumes
Tomate cerise,cru,0.58,Fruits et Légumes,Légumes
Tomate de saison,cru,0.58,Fruits et Légumes,Légumes
Tomate hors saison,cru,1.96,Fruits et Légumes,Légumes
Tomate verte,cru,0.7,Fruits et Légumes,Légumes
Tomme ou tome,allégée en matière grasse,5.68,Produits Laitiers,Fromages
Tonic ou bitter,non sucré-sucré,0.51,Boissons,
Topinambour,cru,0.51,Fruits et Légumes,Pommes de terre et autres tubercules
Tortilla souple (à garnir),à base de blé-à base de maïs,1.2,Produits céréaliers,
Tournesol,graine,3.25,Fruits et Légumes,Fruits à coque et graines oléagineuses
Tripes,boeuf,27.7,"Viandes, oeufs, poissons",Viandes crues
Tripes à la mode de Caen,préemballé,23.1,Plats composés,Plats composés
Truite arc en ciel,cru,6.64,"Viandes, oeufs, poissons",Poissons crus
Truite arc en ciel,élevage,8.08,"Viandes, oeufs, poissons",Poissons cuits
Truite d'élevage,cru,6.09,"Viandes, oeufs, poissons",Poissons crus
Truite d'élevage,fumée,7.06,"Viandes, oeufs, poissons",Poissons cuits
Truite de mer,cru,6.64,"Viandes, oeufs, poissons",Poissons crus
Truite saumonée,cru,6.64,"Viandes, oeufs, poissons",Poissons crus
Turbot,cru,12.7,"Viandes, oeufs, poissons",Poissons crus
Turbot d'élevage,cru,12.7,"Viandes, oeufs, poissons",Poissons crus
Turbot sauvage,cru,9.04,"Viandes, oeufs, poissons",Poissons crus
Valençay,(fromage de chèvre),6.65,Produits Laitiers,Fromages
Vanille,extrait alcoolique-extrait aqueux,1.15,Aides culinaires et ingrédients divers,
Veau,carré-poitrine-épaule,14.7,"Viandes, oeufs, poissons",
Veau,escalope panée,18.2,"Viandes, oeufs, poissons",Autres produits à base de viande
Veau,escalope-filet-noix,18.3,"Viandes, oeufs, poissons",
Veau,collier-côte-jarret-pied,18.5,"Viandes, oeufs, poissons",
Veau,steak haché 15% MG-steak haché 20% MG,22.4,"Viandes, oeufs, poissons",
Veau,rôti,23.0,"Viandes, oeufs, poissons",Viandes crues
Vermicelle de riz,sèche,1.45,Produits céréaliers,"Pâtes, riz et céréales"
Vivaneau,cru,4.25,"Viandes, oeufs, poissons",Poissons crus
Volaille,croquette panée ou nuggets,6.04,"Viandes, oeufs, poissons",Autres produits à base de viande
Wakamé (Undaria pinnatifida),séché ou déshydratée,6.77,Aides culinaires et ingrédients divers,Algues
Wakamé atlantique (Alaria esculenta),séché ou déshydratée,6.58,Aides culinaires et ingrédients divers,Algues
Yaourt,lait fermenté ou spécialité laitière,2.36,Produits Laitiers,Produits laitiers frais et assimilés
Yaourt au lait de chèvre,nature,1.68,Produits Laitiers,Produits laitiers frais et assimilés
Yaourt à la grecque,nature,2.12,Produits Laitiers,Produits laitiers frais et assimilés
Yaourt à la grecque,sur lit de fruits,2.14,Produits Laitiers,Produits laitiers frais et assimilés
Yaourt à la grecque,au lait de brebis,2.26,Produits Laitiers,Produits laitiers frais et assimilés
Échalote,cru,0.36,Fruits et Légumes,Légumes
Églefin,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Églefin,grillé/poêlé,13.2,"Viandes, oeufs, poissons",Poissons cuits
Épeautre,cru,1.16,Produits céréaliers,"Pâtes, riz et céréales"
Éperlan,cru,1.94,"Viandes, oeufs, poissons",Poissons crus
Épinard,cru pousses pour salades,0.39,Fruits et Légumes,
Épinard,purée,0.72,Fruits et Légumes,Légumes
Épinard,surgelé,0.86,Fruits et Légumes,Légumes
Épinard,appertisé,0.88,Fruits et Légumes,Légumes
Beurre (tous types),surgelé cru / demi-sel-salé / surgelé / artisanal / sablé / cru / préemballé / léger / pulpe / à teneur réduite en matière grasse / appertisé / doux,3.87,Matières grasses,
Matière grasse végétale (tous types),80% MG / allégée / légère / salé / à tartiner / doux,2.65,Matières grasses,
Huile combinée,mélange d'huile d'olive et de graines / (mélange d'huiles),2.87,Matières grasses,
Matière grasse mélangée (végétale et laitière),mélange d'huile d'olive et de graines / (mélange d'huiles),2.87,Matières grasses,
Thé (tous types),infusé / non sucré,0.04,Boissons,
Glace,type sundae/à partager/bâtonnet-cône,1.39,Glaces et sorbets,
Sorbet,en bac/bâtonnet,,Glaces et sorbets,
Chocolat au lait,tout type,12.7,Produits sucrés,Chocolat
Chocolat noir,tout type,17.1,Produits sucrés,Chocolat
Chocolat blanc,tout type,11.3,Produits sucrés,Chocolat
