id,status,french_name,english_name,french_attribut,english_attribut,type,french_tag,english_tag,unit,validity_range,comment,CO2,main_type,sous_type
40446,Valide générique,Lentille corail,Lentil,cuite,pink or red," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lentille corail","Agribalyse,Lentil,légumineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Micro-onde,0.401,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
40447,Valide générique,Lentille corail,Lentil,sèche,pink or red," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lentille corail","Agribalyse,Lentil,légumineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,0.909,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
40448,Valide générique,Lentille verte,Green lentil,cuite,cooked," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lentille verte","Agribalyse,légumineuses,Green lentil",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Micro-onde,0.401,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
40449,Valide générique,Lentille verte,Lentil,sèche,green," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lentille verte","Agribalyse,Lentil,légumineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,0.909,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
39640,Valide générique,Levure alimentaire,Nutritional yeast,,, Aides culinaires et ingrédients divers > Ingrédients divers,"Agribalyse,ingrédients divers,Levure alimentaire","Agribalyse,ingrédients divers,Nutritional yeast",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Papier - Préparation : Pas de préparation,5.61,Aides culinaires et ingrédients divers,Ingrédients divers
39641,Valide générique,Levure chimique ou Poudre à lever,Baking powder or raising agent,,, Aides culinaires et ingrédients divers > Ingrédients divers,"Agribalyse,ingrédients divers,Levure chimique ou Poudre à lever","Agribalyse,ingrédients divers,Baking powder or raising agent",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Papier - Préparation : Pas de préparation,5.61,Aides culinaires et ingrédients divers,Ingrédients divers
39642,Valide générique,Levure de boulanger,Baker's yeast,compressée,compressed, Aides culinaires et ingrédients divers > Ingrédients divers,"Agribalyse,ingrédients divers,Levure de boulanger","Agribalyse,ingrédients divers,Baker's yeast",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,5.71,Aides culinaires et ingrédients divers,Ingrédients divers
39643,Valide générique,Levure de boulanger,Baker's yeast,déshydratée,dehydrated, Aides culinaires et ingrédients divers > Ingrédients divers,"Agribalyse,ingrédients divers,Levure de boulanger","Agribalyse,ingrédients divers,Baker's yeast",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Papier - Préparation : Pas de préparation,5.61,Aides culinaires et ingrédients divers,Ingrédients divers
39644,Valide générique,Lichen de mer ou pioca ou goémon rouge (Chondrus crispus),Carragheen mosses (Chondrus crispus),séché ou déshydraté,dried or dehydrated, Aides culinaires et ingrédients divers > Algues,"Agribalyse,algues,Lichen de mer ou pioca ou goémon rouge (Chondrus crispus)","Agribalyse,algues,Carragheen mosses (Chondrus crispus)",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,6.58,Aides culinaires et ingrédients divers,Algues
40818,Valide générique,Liégeois aux fruits,Fruit liegeois,,, Lait et produits laitiers > Produits laitiers frais et assimilés,"Agribalyse,Liégeois aux fruits,produits laitiers frais et assimilés","Agribalyse,Fruit liegeois,produits laitiers frais et assimilés",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PP - Préparation : Pas de préparation,2.41,Lait et produits laitiers,Produits laitiers frais et assimilés
